year,age_group,asfr_per_1000
2013,15-19,13.220895414957173
2023,15-19,7.02280303030303
2013,20-24,50.65479197423165
2023,20-24,39.08468118754942
2013,25-29,121.61643339428893
2023,25-29,108.08717042047813
2013,30-34,123.46618520084567
2023,30-34,107.94010159981804
2013,35-39,73.04118555109602
2023,35-39,64.39438512655865
2013,40-44,20.360247562712235
2023,40-44,18.404961535137005
2013,45-49,2.0024993991828888
2023,45-49,1.2454084863837873
